business date,sedol,isin,figi,ticker,bbgid,name,offer rate,bid rate,last rate,crowding,short interest,shortinterestnotional,shortinterestpct,s3float,s3sipctfloat,indicativeavailability,s3utilization,daystocover10day,daystocover30day,daystocover90day,original si,close
30/04/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6204333.11,2.66E+09,0.0163,3.87E+08,0.016,1.21E+08,0.42,0.96407193,1.080809914,1.080809914,6658903,421.78
01/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6373040,2.69E+09,0.0167,3.87E+08,0.0165,1.21E+08,0.39,1.017323605,1.08069024,1.08069024,6652326,422.87
04/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6089537.38,2.58E+09,0.016,3.87E+08,0.0157,1.21E+08,0.36,0.99343101,1.037433474,1.037433474,6615198.5,423.04
05/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5864885.38,2.48E+09,0.0154,3.87E+08,0.0152,1.21E+08,0.35,1.551743763,1.048191924,1.048191924,6578271,421.19
06/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6120391.39,2.58E+09,0.0161,3.87E+08,0.0158,1.21E+08,0.37,1.677892951,1.129947754,1.129947754,6645338,419.1
07/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6599011.7,2.77E+09,0.0173,3.88E+08,0.017,1.20E+08,0.45,1.879650111,1.239413718,1.239413718,6762711,426.88
08/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6523186.12,2.78E+09,0.0171,3.88E+08,0.0168,1.20E+08,0.41,2.052824377,1.358172019,1.358172019,6759221.5,433.69
11/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6098959.68,2.65E+09,0.016,3.87E+08,0.0158,1.21E+08,0.4,2.017046514,1.806505025,1.806505025,6677658,432.85
12/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,6277509.95,2.72E+09,0.0165,3.87E+08,0.0162,1.21E+08,0.45,2.391733948,2.043201544,2.043201544,6451583,431.02
13/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,6138441.06,2.65E+09,0.0161,3.87E+08,0.0159,1.21E+08,0.43,2.428202891,2.151481398,2.151481398,6433339,426.87
14/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,5659444.53,2.42E+09,0.0148,3.87E+08,0.0146,1.21E+08,0.4,2.29916565,2.103423725,2.103423725,6336439,432.28
15/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5808327.12,2.51E+09,0.0152,3.87E+08,0.015,1.21E+08,0.38,2.406325994,2.309798202,2.309798202,6383776.5,426
18/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5638148,2.40E+09,0.0148,3.87E+08,0.0146,1.21E+08,0.38,2.179614375,2.183555601,2.183555601,6357100,425.24
19/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,5333675,2.27E+09,0.014,3.86E+08,0.0138,1.22E+08,0.37,2.154019345,2.05610058,2.05610058,6311258.5,421.71
20/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5138580.67,2.17E+09,0.0135,3.86E+08,0.0133,1.22E+08,0.38,2.076537363,2.011219233,2.011219233,6277508.5,423.86
21/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,5366143.38,2.27E+09,0.0141,3.86E+08,0.0139,1.22E+08,0.37,2.19943109,2.129990819,2.129990819,6346747.5,431.63
22/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5288595.05,2.28E+09,0.0139,3.86E+08,0.0137,1.22E+08,0.38,1.991379086,1.992047416,1.992047416,6342146.5,427.63
26/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,5037476.93,2.15E+09,0.0132,3.86E+08,0.013,1.22E+08,0.38,1.890344481,1.963138015,1.963138015,6294169,425.47
27/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5155763.9,2.19E+09,0.0135,3.86E+08,0.0133,1.22E+08,0.38,2.337784471,2.188080822,2.188080822,6338901,431.42
28/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,5141798.57,2.22E+09,0.0135,3.86E+08,0.0133,1.22E+08,0.37,2.328063624,2.16062746,2.16062746,5632047,426.57
29/05/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,4966848.03,2.12E+09,0.013,3.86E+08,0.0129,1.22E+08,0.39,2.311353028,2.085012524,2.085012524,5602876.5,429.23
01/06/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,4699579,2.02E+09,0.0123,3.86E+08,0.0122,1.22E+08,0.47,2.119079966,2.079696231,2.079696231,5548931.5,430.92
02/06/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,4617191.94,1.99E+09,0.0121,3.86E+08,0.012,1.22E+08,0.4,2.376518044,2.055697853,2.055697853,5502729,430.99
